corp_nm,detail
㈜아이뱅크 [디지털웍스],"                                마케팅 클라우드 고객행동 데이터 분석 분야 신입,경력 정규직 채용                            "
㈜천재교과서,                                이러닝 데이터 분석 담당자 모집(천재교과서)                            
㈜펀엔씨,"                                [강아지대통령, 고양이대통령] 데이터엔지니어 정규직 채용                            "
㈜매드업,                                [테크사업부] 데이터 사이언티스트 채용(전문연구요원 복무 가능)                            
오아㈜,"                                광고 데이터 분석 담당자 채용(네이버, 카카오 등)                            "
㈜에이엔게임즈,데이터 엔지니어 모집                            
㈜온누리아이코리아,"                                [데이터 분석 스타트업] UI/UX개발/고객행동분석 (Python, GA, Database)                            "
마인즈랩,                                인공지능 전문기업 마인즈랩 Data Manager 공개 모집                            
현대자동차㈜,                                현대자동차 IT 빅데이터 분야 경력 상시 채용                            
㈜농협정보시스템,"                                정규직(경력,신입) 및 계약직 직원 모집                            "
로지스올그룹,                                2020년 LogisALL 신입/경력사원(정규직) 채용                            
㈜그리드위즈,                                [그리드위즈 제주] 각 부문 신입 및 경력직원 채용                            
현대자동차㈜,                                AIRS컴퍼니 경력 상시채용                            
㈜플래티어,                                (주)플래티어 2021 상반기 경력사원 공개채용                            
㈜우아한형제들,                                각 부문별 경력/신입 인재영입                            
㈜휴네시온,                                시스템 엔지니어 및 S/W 개발자 경력직 모집                            
콘센트릭스서비스코리아(유),                                [Concentrix] 데이터분석 각 분야 경력직 채용                            
㈜골프존유통,                                2021년 각 부문 경력사원 채용                            
㈜레뷰코퍼레이션,"                                플랫폼그룹(웹개발, 프로덕트오너) 경력직 채용                            "
㈜동행복권,                                각 부문 신입/경력사원 공개채용                            
㈜유비퍼스트대원,"                                연구소 개발자 모집 - 웹(프런트/백앤드), 임베디드(펌웨어), 서버(어플리케이션)                            "
㈜인텔리빅스,                                2021년 각 부문별 신입 및 경력사원 공개채용                            
㈜구루미,                                [대한민국 1등 온택트기업] 솔루션 기술지원 인력 채용합니다.                            
㈜스냅스,                                각 부문 경력직 채용                            
㈜현대백화점,                                각 부문 경력직 채용                            
메가존㈜,                                각 부문별 채용                            
지이씨엘코리아,                                2020년 하반기 GECL KOREA 주요직무 신입/경력직 인재채용                            
카카오커머스,                                각 부문 수시 영입                            
주식회사 앱코,                                [2020년 12월 코스닥 상장] 국내/해외 각 부문별 공채                            
㈜중앙일보,                                뉴스서비스실 디지털 직군 경력사원 상시채용                            
㈜하나금융티아이,                                금융IT 경력사원 모집                            
㈜엔씨소프트,                                [엔씨소프트] Knowledge AI Research 수시모집                            
주식회사 예스나우,                                개발팀(인공지능) 업무를 함께할 정규직 사원을 모집합니다 (신입/경력)                            
㈜아프리카TV,                                2020년 아프리카TV 경력직 개발자 채용                            
㈜중고나라,                                [중고나라] 서버개발/프론트엔드개발/모바일앱개발/검색개발/DBA/시스템엔지니어 부문 채용                            
㈜중고나라,                                [중고나라] 사업기획/마케팅/광고상품기획/디자인/서비스기획 부문 채용                            
㈜이호스트아이씨티,"                                (주)이호스트아이씨티 ERP, CRM 개발 엔지니어 채용 공고                            "
㈜케이티,                                2020년 KT 경력사원 상시채용                            
㈜코난테크놀로지,                                2020년 ㈜코난테크놀로지 하반기 채용                            
주식회사 여기어때컴퍼니,                                [여기어때] 중소형호텔사업부 영업기획팀 데이터분석 담당 채용(경력)                            
카카오페이,                                [카카오페이] BI 시스템 운영 및 개발 담당자 영입                            
기아자동차㈜,                                CDO 본부 신입/경력 상시채용                            
유한책임회사 딜리버리히어로코리아,                                전 개발직군 대규모 채용중                            
㈜케이티넥스알,                                ㈜kt NexR 2020년 각 부문별 채용                            
써모피셔사이언티픽 코리아,                                Business Intelligence Analyst                            
㈜인라이플,                                [업계1위/최강복지]  B2C 브랜드 사업부 개발PM 인재채용                            
㈜인라이플,"                                [업계1위/JAVA개발] 우리 재밌는거 개발하기로했는데, 같이 개발할 사람 모집                            "
㈜인라이플,                                [업계1위/최강복지] JAVA 프론트엔드/백엔드 개발자 경력직 채용                            
㈜인라이플,                                [업계1위/최강복지] JAVA 프론트엔드/백엔드 개발자 인재채용                            
㈜티맥스소프트,                                [티맥스그룹] R&D 개발 연구원 리더급 경력 모집                            
㈜더에스엠씨그룹,                                [개발직군] 개발팀 개발자·퍼블리셔/프론트엔드 경력 채용                            
㈜인라이플,                                [업계1위/최강복지] 빅데이터 기획/분석 직무 대규모 채용                            
㈜인라이플,                                [업계1위/최강복지] 웹 서비스 기획 및 기획PM 대규모 인재채용                            
㈜위메프,                                [플랫폼]NoSQL운영 및 기술지원 담당자                            
옴니시스템㈜,                                Nexacro/MiPlatform/Java/C++/ReactJS/Html5/모바일개발 경력직 모집(옴니시스템 연구소)                            
㈜시큐레이어,                                2020년 하반기 공개채용(웹개발파트) 초급개발자 모집                            
㈜시큐레이어,                                2020년 기술연구소 채용 [인공지능(AI)개발자]                            
