corp_nm,detail
대기업,                                [국내 대기업] 데이터 마케팅 팀장급(Data Scientist)                            
중소기업(300명이하),데이터 매니지먼트 팀장-국내 최대 규모 중고거래 플랫폼                            
중소기업(300명이하),데이터 분석을 위한 도메인 기반 구축                            
대기업,                                [주요 SI기업] 빅데이터 컨설팅(데이터컨설턴트)                            
중소기업(300명이하),데이터 구축 (딥러닝 학습셋)                            
중소기업(300명이하),데이터 엔지니어 (인공지능 분야)                            
중견기업(300명이상),                                [유명 소프웨어 기업] 데이터 분석(6년이상)                            
대기업,                                [이커머스 기업]데이터엔지니어                            
중소기업(300명이하),데이터 수집 업무 (인공지능 분야)                            
중견기업(300명이상),                                화장품 회사 데이터 분석가 초빙                            
대기업 계열사·자회사,                                [대기업계열사] 데이터 엔지니어                            
대기업 계열사·자회사,                                [대기업계열사] 데이터 기획                            
중견기업(300명이상),                                [중견사]데이터 분석 전문가(선임-책임급)                            
중소기업(300명이하),데이터 엔지니어 2 - 6년 경력자                            
대기업,"                                종합ICT 기업의 빅데이터(데이터엔지니어,사이언티스트,데이타컨설턴트) 대리-차장급 8명 채용                            "
대기업,"                                인공지능 로봇,데이터센터,TA시스템아키텍트,클라우드 각 부문 대리-차장급 00명 채용                            "
대기업,"데이터분석,이커머스,전략기획,데이터사업 개발,컨설팅 대리-차장급 00명 채용(ICT대기업)                            "
외국계 기업,"                                외국계기업의 R,Python, SAS, Stata등 데이터 처리,분석 담당 매니저 대리-과장급 2명 채용                            "
대기업,                                [헤딩머니100만원] 데이터 과학자 모집(3년 이상)                            
중견기업(300명이상),                                05. [유명게임개발사] 데이터 분석                            
대기업,                                [주요 SI기업] 고객데이터 및 고객경험기반 사업개발/컨설팅                            
대기업,                                [국내 대기업] 데이터 분석 전문가                            
중소기업(300명이하),                                [데이터 분석가 경력자] 유명 상장기업 인재 채용                            
중소기업(300명이하),                                [데이터 엔지니어 경력자] 유명 상장기업 인재 채용                            
대기업,                                [대기업] 데이터 엔지니어                            
중소기업(300명이하),                                [씨드로닉스] 인공지능 데이터 가공                            
중견기업(300명이상),"                                [중견기업] 데이터프로덕트 서버개발자 Java, Spring, AWS                            "
벤처기업,                                [벤처기업 데이터 엔지니어 채용]                            
중소기업(300명이하),데이터 마케팅 (팀장급)-국내외 유명 라이프스타일 이커머스                            
대기업,                                [주요 SI기업] 데이터기반 마케팅 기획/컨설팅                            
중견기업,                                유명게임사) 데이터엔지니어링 (3년이상)                            
대기업,                                [주요SI대기업] 데이터엔지니어(빅데이터 프로젝트 수행)                            
중견기업(300명이상),                                [초우량 중견기업]Data팀 데이터 분석 및 활용                            
대기업,                                [주요SI대기업] 고객데이터기반의 빅데이터 플랫폼 구축                            
대기업,                                [주요SI 대기업] 고객데이터 분석(Data Scientist)                            
대기업,                                [주요SI대기업] 데이터 엔지니어링(Data Engineer)                            
대기업 계열사·자회사,"                                [ Top 대기업 계열사] 데이터 기획 (스마트홈, IOT기반 )                            "
국내 대기업,데이터 사이언티스트 - 국내 대기업                            
대기업 건물용 기계 장비,                                대기업 데이터 분석 기획                            
대기업,                                [대기업]DATA SCIENTIST 2명 채용(데이터처리활용/기획전략 각 채용)                            
대기업,                                [이커머스 기업]데이터 분석 및 모델링                            
중견기업(300명이상),                                학습물데이터 AI 알고리즘 설계 및 기획자(중견기업)                            
외국계 기업,                                [외국계 소비재] Data Analyst 데이터 분석(SAS or SQL) / 대리 말-차장급                            
대기업 계열사·자회사,                                국내 보험산업 대기업에서 데이터 엔지니어를 초빙합니다.                            
에스코어,                                [대기업] 데이터 기준정보 컨설팅                            
그룹 계열사1,데이터 분석 애널리스트- 그룹 계열사1                            
중견기업(300명이상),                                국내1위 언택트 유니콘기업 데이터개발자                            
중소기업(300명이하),데이터 엔지니어 경력직(대리급)                            
중소기업(300명이하),데이터 분석 주니어급 채용 [출시 임박한 게임사 (위치 강남)]                            
국내 초대형증권사,                                국내 초대형증권사 머신러닝 알고리즘 구현 데이터 엔지니어 경력자 모집                            
외국계 기업,                                (외국계토탈스포츠브랜드) Sales Analysis 영업 데이터 분석 (사원-대리급)                            
중견기업(300명이상),"                                [화장품제조 상장사] 데이터 사이언티스트, 대리급 채용                            "
대기업 계열사·자회사,                                초우량상장사 데이터사이언티스트 대리차장급                            
대기업,                                CRM 데이터 분석(대리-과장급)                            
중소기업(300명이하),데이터 엔지니어 채용                            
외국계 기업,                                [외국계기업] Data analyst (신입-대리)                            
중소기업(300명이하),"                                국내유명스타트업 - 영상인식기술&AI,플래폼기획팀장                            "
대기업,                                신규과제 PoC 기획/분석 (보험회사)                            
대기업 계열사·자회사,                                대기업 계열 자동차 전장회사 AI 알고리즘 전문가                            
중소기업(300명이하),"                                빅데이터 DATA ARCHITECT [글로벌통신사 그룹사, 경력 5년-10년미만]                            "
외국계 기업,                                청담동 위치 국내 1위 수입차딜러사 전산팀 데이터분석 대리급                            
중견기업(300명이상),                                [중견기업] 데이터분석가                            
대기업,                                AI/머신러닝/딥러닝/빅데이터 전문가 (건설프로젝트)                            
중소기업(300명이하),                                [유명 화장품 중견기업] Data Scientist 채용                            
대기업,                                긴급) 이커머스 그로스 해커&데이터분석 (5년 이상)                            
대기업,                                긴급) 이커머스 그로스 해커&데이터분석 (5년 이상) - 최우대                            
대기업,                                긴급) 최고 대기업 - Data Scientist (3년 이상) - 최우대                            
대기업,                                긴급) Data Scientist (3년 이상) - 최고 대기업 - 최우대                            
대기업,                                긴급) 업계 최고 대기업 - DW/DM Engineer - 최우대                            
대기업,                                긴급) DW/DM Engineer - 업계 최고 대기업 - 최우대                            
국내 최고 유제품 생산 대기업 지주사,                                IT기획(전사Data관리 및 IT기획) 경력자                            
대기업,                                긴급) 머신러닝 엔지니어 (이커머스 자연어처리) - 업계 최고 대기업 - 최우대                            
대기업,                                긴급) 머신러닝 엔지니어 (이커머스 추천) - 업계 최고 대기업 - 최우대                            
대기업,                                긴급) 업계 최고 대기업 - 머신러닝 엔지니어 (이커머스 자연어처리) - 최우대                            
대기업,                                긴급) 업계 최고 대기업 - 머신러닝 엔지니어 (이커머스 추천) - 최우대                            
대기업 계열사·자회사,                                (급) 디지털마케팅 - 빅데이터 솔루션 (팀장급)                            
대기업,                                빅데이터 / AI분야 전문가 (건설분야 대기업)                            
대기업,                                긴급) 머신러닝 엔지니어 (이커머스 분야) - 업계 최고 대기업 - 최우대                            
대기업,                                긴급) 업계 최고 대기업 - 머신러닝 엔지니어 (이커머스 분야) - 최우대                            
대기업,                                긴급) 최고 대기업 - Machine Learning Engineer - 최우대                            
대기업,                                긴급) Machine Learning Engineer - 최고 대기업 - 최우대                            
외국계 기업,"                                04. IT Data Analyst (대리/과장급) - 대시보드,Visualization                            "
CNX,"                                Data Engineer, Data Scientist, BigData Analyst                            "
중견기업(300명이상),"                                정보DB화 대리-차장급 (이,비p)                            "
중견기업(300명이상),                                Big Data 분석 컨설턴트(6년-15년)-글로벌 디지털 Solution 회사                            
중견기업(300명이상),                                빅데이터 알고리즘(DNN/ML기반) 개발자(6년-14년)-디지털 Solution 전문                            
대기업,"                                상품/서비스 소비자 PoC기획, 운영, 분석 (대리-과장)                            "
대기업 계열사·자회사,"                                빅데이터 AI 전문가 과장급 (양,C)                            "
중견기업(300명이상),"                                유명 중견기업 여신 System DB관리 사원,대리                            "
벤처기업,                                유망바이오기업 SW개발(2명)                            
외국계 기업,                                AI기술 담당-국내 최대 금융지주 산하 대형 생보사                            
대기업,                                국내 유명 생명보험사 빅데이터 (대리 과장급) 채용                            
중소기업(300명이하),"                                빅데이터 Data Architect [글로벌통신사 그룹사, 경력 5년-10년]                            "
대기업 계열사·자회사,                                IT 대기업 빅데이터 Biz 전략 담당자-국내유명그룹사                            
대기업 계열사·자회사,                                그룹DT추진담당임원-국내유명그룹사                            
중소기업(300명이하),"                                Data Architect [글로벌통신사 그룹사, 경력 5년이상]                            "
중소기업(300명이하),"                                DATA SCIENTIST [글로벌통신사 그룹사, 경력 3년이상]                            "
중소기업(300명이하),                                [전력기기 제조 강소기업] 정보DB화 포지션 모집                            
대기업 계열사·자회사,                                [대기업/그룹사]Data 플랫폼 경력자/ 과장-차장급                            
대기업 계열사·자회사,                                [대기업/그룹사]Data 분석기획 /대리-차장급                            
중견기업(300명이상),                                [중견사]데이터분석 전문가(선임-책임급)                            
대기업,                                [Data Scientist (과장/차장급) 경력직 채용]유명 패션 대기업                            
중견기업(300명이상),                                [수입차딜러사]데이터분석 (대리-과장급)                            
대기업,                                송파구 위치 대기업 계열 인터넷 쇼핑몰 검색서비스개발 대리-차장급                            
벤처기업,                                머신러닝/딥러닝 기반 영상처리 솔루션 개발자 모집                            
벤처기업,                                [벤처기업 퍼포먼스 마케터 채용]                            
대기업,                                송파구 위치 대기업 계열 인터넷 쇼핑몰 안드로이드개발 대리-차장급                            
대기업,                                송파구 위치 대기업 계열 인터넷 쇼핑몰 IOS APP 개발 대리-차장급                            
대기업 계열사·자회사,                                [대기업 계열사] Cloud 컨설팅                            
대기업 계열사·자회사,                                빅데이터 담당임원-국내유명그룹사                            
중견기업(300명이상),                                대기업계열 IT계열사 하반기 경력채용                            
중소기업(300명이하),"                                BACKEND개발(빅데이터 솔루션)  [글로벌 통신사 그룹사, Senior급]                            "
중소기업(300명이하),"                                S/W QA [글로벌통신사 그룹사, Senior급]                            "
대기업,                                [대기업생명사] 블록체인 프로그램(과제)기획 - 과장급                            
벤처기업,                                [유망 AI 스타트업] Data Scientist                            
벤처기업,                                [OPGG] 데이터분석가                            
중소기업(300명이하),"                                AI 및 빅데이터 분야 정부과제 수행자 (선임-책임), 구로구                            "
중소기업(300명이하),                                AI Data PM(Project manager) 채용(선임-책임)                            
중소기업(300명이하),                                빅데이터 분석 컨설팅 전문가 채용                            
벤처기업,                                [유망 AI 스타트업] Machine Learning Engineer                            
대기업 계열사·자회사,                                [유명 이커머스기업]광고 플랫폼 개발                            
벤처기업,                                머신비전/영상처리 알고리즘/판교/스타트업                            
대기업,                                우량대기업 - 데이터분석 및 시각화 경력인재 채용                            
대기업,                                글로벌대기업 - Data Scientist 경력인재 채용                            
중견기업(300명이상),                                [코스닥상장 중견그룹사] Data Engineer 모집                            
중견기업(300명이상),"                                저축은행 앱마케팅(CRM) 대리과장급(양,웰)                            "
중견기업(300명이상),                                [IT/오픈마켓] 마케팅자동화솔루션 (Braze) 운영 마케터 채용(5년이상)                            
대기업,                                [빅데이터솔루션팀장] 대기업 계열사 빅데이터솔루션팀장 채용 안내                            
대기업,                                국내 최고 화장품회사  Data Scientist (추천시스템 전략)                            
대기업,                                [대기업] Data Scientist                            
중견기업(300명이상),"                                AI, 인공지능, 빅데이터관련 포지션 (주임-수석급), 다수포지션                            "
외국계 기업,                                [Global Company] Big Data Engineer (과장-차장급)                            
외국계 기업,                                [Global Company] Data Scientist (과장-차장급)                            
외국계 기업,                                [Global Company] 빅데이터 분석 및 운영 시스템 기획 (과장-부장급)                            
중견기업(300명이상),                                CRM 솔루션 서비스고도화 & 기획 인재채용                            
중견기업(300명이상),                                [중견기업] 로봇 자율주행 소프트웨어 개발자                            
외국계 기업,                                글로벌 외국계 소비재 대기업 Data Scientist 데이터분석 마케팅                            
대기업,                                (국내 대기업 지주회사) IT기획/관리 (과장-차장급)                            
중소기업(300명이하),                                병원PM팀 마케팅 업무 (대리급)-국내 건강기능식품 전문기업                            
중소기업(300명이하),                                쇼핑앱 Product Owner (실장급)-국내 패션 모바일 커머스 기업                            
글로벌 리뷰 플랫폼,                                [글로벌 리뷰 플랫폼] AI팀장                            
국내 비영리단체·협회·교육재단,                                [유명학술정보사] 추천 및 검색서비스 기획자                            
국내 비영리단체·협회·교육재단,                                [유명학술정보사] 개인화 서비스기획자                            
중소기업(300명이하),                                AI 플랫폼개발                            
벤처기업,                                마케팅플랫폼 딥러닝엔지니어                            
대기업 계열사·자회사,                                [대기업 계열사] Technical Architect 경력직 채용                            
대기업 계열사·자회사,                                외국계 대기업) 디지털 분석가(GA 기반 분석 담당) 경력직 채용                            
대기업 계열사·자회사,                                외국계 대기업) Big data Analysis Consultant 경력직 채용                            
국내대기업계열사,"                                국내유명그룹사-Data 담당자(Enigneer, 컨설턴트, 분석가)                            "
중소기업(300명이하),                                AI 기반 분석 플랫폼 개발 부문                            
대기업 계열사·자회사,                                플랫폼 개발 : AI 기반 분석/경력3년이상                            
중소기업(300명이하),                                AI 기반 분석 플랫폼 개발                            
중소기업(300명이하),                                [AI기반 교육 플랫폼 기업] 디지털마케팅 리드.                            
대기업,데이터분석 전문가 채용 - 글로벌 우량대기업                            
대기업,데이터분석 및 시각화 경력인재 채용 - 글로벌 우량대기업                            
대기업,                                Data Scientist 경력인재 채용 - 글로벌 우량대기업                            
대기업,                                경영전략/Data Scientist 경력인재 채용 - 글로벌 우량대기업                            
중견기업(300명이상),                                [IT/오픈마켓] 마케팅자동화솔루션 (Braze) 운영 마케터 모집(5년이상)                            
중소기업(300명이하),                                [ 국내  Platform 솔루션 업체 ] 마케팅 총괄                            
대기업 계열사·자회사,                                마케팅 데이타 분석 전문가 (국내 최고대기업 계열)                            
대기업 계열사·자회사,                                대기업 지주회사 빅테이터 플랫폼 기획 구축운영 과차장급                            
중소기업(300명이하),                                영등포 위치 국내 1위 구매 SCM솔루션기업 AI개발 대리급                            
대기업,                                AI 비전 인식 대리-과장 물류 대기업 11117                            
대기업,"                                IT기획/관리 과차장급(양,노)                            "
중소기업(300명이하),"                                Machine Learning, Data 분석 경력자                            "
중견기업(300명이상),"                                JAVA 플렛폼개발 대리과장급 (양,사)                            "
중소기업(300명이하),                                식품회사 IT 운영팀 팀원-국내 중견 외식 기업                            
외국계,                                06. 빅데이터 전문가 (대리과장급) [외국계 금융사]                            
외국계 기업,"                                웹,모바일 어플리케이션 개발 (대리-차장), 영등포구                            "
대기업,                                [주요SI 대기업] Data Scientist(빅데이터 분석)                            
외국계,                                3. 빅데이터 전문가 (대리과장급) [외국계 금융사]                            
유명 외국계,                                3. AI기술전문가 채용 (대리과장급) [유명 외국계]                            
중소기업(300명이하),"                                자동차판매사 데이터분석매니저 (대리-과장), 강남구                            "
중소기업(300명이하),                                [모빌리티 플랫폼 기업] 플랫폼 기획자(팀장급)                            
중견기업(300명이상),                                화장품 자사몰전략 대리/과장 채용                            
중견기업(300명이상),                                화장품 CRM 대리/과장 채용                            
대기업,                                [주요 SI기업] B2C 채널 전략컨설팅/서비스기획                            
대기업,                                국내 최고 화장품회사 DW/DM Engineer                            
중견기업(300명이상),                                머신러닝 분석시스템 설계 및 구축(6년-14년)-글로벌디지털Solution 회사                            
중견기업(300명이상),                                v 빅데이터 개발팀(과-차장) -국내 코스닥 상장기업                            
중소기업(300명이하),"                                딥러닝 기반 AI 모델 개발자 (대리-차장급), 서초구                            "
벤처기업,                                [글로벌 리뷰 플랫폼]AI Labs 리더                            
중견기업(300명이상),                                [중견기업]Data Scientist 경력직 채용                            
대기업,                                [주요SI대기업] 빅데이터 처리 및 DataLake 구축(Data Engineer)                            
대기업 계열사·자회사,                                빅데이터 개발 PL - 대기업 계열 IT 서비스 솔루션 개발 및 운영사                            
대기업,                                대기업 - 디지털 마케팅 (전략수립 및 기획)                            
대기업,"                                대기업 - 마케팅 전략 (마켓리서치, 데이터분석, 전략도출)                            "
신한은행,"                                AI(인공지능)/빅데이터 전문인력, 블록체인 전문인력 채용(차장, 과장급 6-7명), TOP 수준 금융그룹 디지털연구소                            "
중소기업(300명이하),                                Data Scientist (상장기업 기술연구소)                            
대기업,                                AI 대화 SDK 솔루션 기술 개발                            
중소기업(300명이하),                                식품회사 IT 운영팀 팀장-국내 중견 외식 기업                            
중견기업(300명이상),                                B2C 서비스 팀장-유명 소비재기업 그룹지주사                            
중견기업(300명이상),                                [글로벌/의료 소프트웨어/재무회계] Service Planner                            
중견기업(300명이상),                                [코스닥상장 중견그룹사] Data Scientist 경력직 채용                            
외국계 기업,"                                유망외국계기업)  AI, 스마트그리드,에너지디지털 산업 관련 서비스기획 (UI/UX)                            "
대기업,                                식품그룹  디지털 전략기획 과장급                            
국내 대기업,                                퍼포먼스 마케팅 - 국내 대기업                            
중소기업(300명이하),                                대기업 계열 화학회사 정보전략(대리)                            
대기업 계열사·자회사,"                                자동차기업 R,Python sas 데이터분석 마케팅 대리과장급 경력자                            "
중소기업(300명이하),                                Java/C/C++ 이나  Python 개발자                            
대기업 계열사·자회사,                                교육출판기업 AI기획 경력자 채용 - 2020112004                            
중견기업(300명이상),"데이터분석 매니저 대리과장급(양,엘)                            "
외국계 기업,                                16. [보험사] Senior Data Analyst 정규직 채용                            
중소기업(300명이하),"                                Data 분석 엔지니어, Data 기획 (대리-차장급), 분당                            "
중견기업(300명이상),"                                Robot 서비스 로봇 백엔드 개발 (양,원p)                            "
중견기업(300명이상),                                [유명 인터넷 포털 서비스 전문기업] 데이터분석 경력직                            
외국계 기업,                                기업신용평가기업 데이터분석가 3-5년                            
글로벌 리뷰 플랫폼,                                [글로벌 리뷰 플랫폼] AI Labs 리더                            
중견기업(300명이상),                                AI 리더(부장급 이상)-국내 유명 교육기업                            
대기업,                                국내 유명 생명보험사 AI기술 (대리 과장급) 채용                            
대기업,                                긴급) 데이터분석 (모바일App) - 최고 대기업 - 최우대                            
중견기업(300명이상),                                마케팅 팀장 (차/부장급)-국내 유명 외식 기업                            
외국계 기업,                                글로벌 비지니스 서비스 기업 Big data Analysis Consultant                            
중소기업(300명이하),"                                플랫폼 전문기업, AI Labs 리더 모집                            "
외국계 기업,                                글로벌 비지니스 서비스 기업 고객센터 Data Scientist                            
중소기업(300명이하),                                퍼포먼스 마케팅 팀장-국내 리딩 온라인 플랫폼 회사                            
터닝포인트HR,                                [포털 자회사] Data Analyst 경력직 채용                            
대기업 계열사·자회사,                                빅데이터 분석 전문가 - 대기업 계열 T커머스 홈쇼핑사                            
대기업,"                                [국내대기업] 클라우드 개발, 기획, 엔지니어 경력직                            "
대기업 보안/의료 영상처리 딥러닝,                                대기업 의료 머신러닝 / 딥러닝 개발자                            
대기업,                                Machine Learning 유경험자 또는 관련 전공자                            
대기업,                                [제약 대기업] 연구기획(AI 기반 신약개발) 경력자 모집                            
대기업,                                1000 대기업 머신러닝 유경험자 또는 관련 전공자 채용                            
대기업,                                연구기획(AI/IT - AI 기반 신약개발) 경력자분을 모집합니다                            
대기업 계열사·자회사,                                블록체인 거버넌스 전략기획 매니저                            
중소기업(300명이하),"                                빅데이터 TECHNICAL ARCHITECT [글로벌통신사 그룹사, 경력 3년-10년]                            "
IT Company,                                [글로벌/IT/AI/엔지니어] AI Engineer                            
에스코어,                                [대기업] 디지털 마케팅 컨설턴트                            
중견기업(300명이상),                                [코스닥상장사] 데이터분석가 채용(3-10년)                            
대기업,"                                네비게이션검증툴,지도엔진,MAP-지도,경로탐색,검증툴,SW분석,DA등 대리-차장급 00명 채용                            "
중소기업(300명이하),                                [Data Scientist 경력자] 유명 상장기업 인재 채용                            
중소기업(300명이하),                                머신러닝 엔지니어 경력직(사원급)                            
대기업,                                빅데이터 전문가 채용                            
(주)티맥스소프트,                                국내 장수 IT회사 핀테크 전문가 경력자  채용건                            
중소기업(300명이하),                                [글로벌/IT/인공지능] AI Tech Planner                            
대기업,                                [대형금융그룹-카드사] 챗봇 검색엔진 엔지니어(만2년이상경력) 직급무관                            
중소기업(300명이하),                                프론트엔드 개발자                            
[판교 A.I 기술 기업] High Level Synthesis 설계 엔지니어,                                [판교 A.I 기술 기업] High Level Synthesis 설계 엔지니어                            
외국계 기업,                                Quantitative Researcher                            
대기업 계열사,                                대기업 그룹사 Data Engineer 채용(BI/DW)                            
중견기업(300명이상),                                게임개발사 게임데이터분석 주임대리급                            
스타트업,                                [IT/금융/전자상거래 스타트업] 백엔드 개발자: 3년 이상                            
벤처기업,                                [스타트업] 인공지능 영상분석 솔루션 앱 개발자(프론트) 모집                            
대기업,                                CRM Marketing Manager(대리-과장)                            
외국계 기업,                                [유명생보사] 데이터분석(대리-과장급)                            
대기업 계열사·자회사,                                대기업  AI/DATA분석 과차장급                            
중소기업(300명이하),                                스포츠분야 AI영상분석 솔루션개발 (대리-과장급)                            
대기업,                                [국내 패션 대기업] Data Scientist 과차장급 채용공고                            
대기업,"                                백엔드,공공프로젝트PM,빅데이터,데이터분석,UIUX,자바 웹개발,각부문 00명 채용                            "
대기업,"                                종합ICT 대기업의 빅데이터,데이터분석,인공지능,IoT플랫폼,보안 석박사급 15명 채용                            "
대기업,"                                대기업 데이터분석(analysis),인공지능(AI),블록체인,IoT,보안 부문 석박사급 00명 채용 프로젝트                            "
중견기업(300명이상),                                빅데이터 플랫폼                            
대기업 계열사·자회사,"                                각부문,인공지능-머신러닝,딥러닝,빅데이터분석등 대리-과차장급 00명 채용(대기업등)                            "
중견기업(300명이상),                                v AI개발팀(과-차장) -국내 코스닥 상장기업                            
대기업,"                                클라우드 빅데이터 플랫폼 상품개발 (이,Np)                            "
중견기업(300명이상),                                v AI개발실장(임원) -국내 코스닥 상장기업                            
벤처기업,                                소프트웨어 기술지원 및 개발자 채용 공고                            
데이터핏,"(주)필룩스 회계,자금 / 전자부품 영업 채용"
데이터랩,20년 12월 생명과학사업본부 신입사원 수시모집
데이터넷,[서울지사] 총무팀 신입 및 경력 채용
유한책임회사 딜리버리히어로코리아,                                [Sr.Analyst] 운영 전략 Data Analyst                            
존슨앤드존슨,                                [한국얀센] Data Scientist                            
롯데정보통신,                                2020년 12월 AI/빅데이터 부문 경력사원 채용[Data Scientist (분석가)]                            
롯데정보통신,                                2020년 12월 AI/빅데이터 부문 경력사원 채용[Data Scientist (컨설턴트)]                            
삼정KPMG (유),                                [경력] Data Scientist/ML/NLP Engineer 모집 - Lighthouse Center                            
㈜인피닉,                                [경력/가산] IT 관련 B2B 영업 및 관리(AI Data)                            
㈜메쉬코리아,                                [메쉬코리아(부릉)] Lead Data Scientist 경력직 채용                            
㈜메쉬코리아,                                [메쉬코리아(부릉)] Senior AI Data Scientist 경력직 채용                            
(주)티몬,                                [티몬] Data Scientist                            
㈜메쉬코리아,                                [메쉬코리아(부릉)] Data Scientist 채용                            
㈜메쉬코리아,                                [메쉬코리아(부릉)] Data Infra Ops 경력직 채용                            
㈜메쉬코리아,                                [메쉬코리아(부릉)] Senior Data Engineer 경력직 채용                            
포스켄㈜,Data Scientist 채용합니다.                            
㈜디앤에스에버,Data Analyst / Business Intelligence Analyst                            
㈜펄핏,Data Team Lead 채용                            
우리회계법인,Data 분석(python)/전산감사/IT관리                            
㈜파마크로,Data Management 신입/경력 DM팀 DBA 모집                            
㈜LG이노텍,                                [LG이노텍] 2020년 하반기 경력 사원 채용                            
㈜포티투마루,                                [포티투마루] 신규 인공지능 서비스 기획자 채용(신입/경력)                            
㈜포티투마루,                                [포티투마루] 인공지능 서비스 기획자 채용(경력)                            
포티투마루,                                [청년디지털일자리][포티투마루] 인공지능 B2B서비스 신입/경력 기획자 모집                            
한국 스마트 데이터,                                데이터 분석가 신입/경력 채용                            
㈜엔시스템,"                                데이터 프로세싱 (DW, Hadoop) 개발자 [SK플래닛 빅데이터 시스템 운영 - 경기 분당 판교]                            "
㈜디타스,                                Digital Twin 을 위한 3차원 시각화 및 시뮬레이션 프로그램 전문개발자 모집                            
㈜비즈니스인사이트,                                Business Consulting본부 컨설턴트 모집                            
유니콤넷,                                빅데이터R&D 정부과제 수행 담당 채용(경력 무관)                            
디스이즈엔지니어링(주),                                [TIE] Machine Learning Engineer 채용                            
㈜한국정보기술단,                                데이터표준품질부문 경력직 모집 (정규직)                            
㈜케이씨넷,                                지능정보사업부 데이터 분석가 경력직 채용                            
펍지 주식회사,                                Deep Learning Research Engineer- General                            
유니콤넷,                                각 부문 기술영업 사원 채용(BcN/AI)                            
노루홀딩스,                                노루그룹 지주사 IT기획/관리 경력사원 모집                            
아이트리온,                                스마트팩토리 솔루션 개발 함께 하실분들을 찾습니다                            
날비컴퍼니,                                [날비컴퍼니] 카메라 관련 Android 개발자 모집                            
날비컴퍼니,                                [주식회사 날비컴퍼니] AI Researcher & Engineer 모집 ( 전문연구요원 가능 )                            
CNX,"Data Engineer, Data Scientist, BigData Analyst                            "
대기업,                                [주요SI 대기업] AI/빅데이터 분석(Data Scientist)                            
대기업,                                수요예측 Data scientist                            
외국계 기업,Data Architect(Data Modernization)-글로벌 컨설팅펌                            
외국계 기업,Data Scientist (Global Top-tier 컨설팅펌)                            
대기업 계열사·자회사,                                외국계 대기업) Data Scientist 경력직 채용                            
대기업,Data Scientist 경력인재 채용 - 글로벌 우량대기업                            
대기업,                                [대기업 위생용품] Data Scientist                            
중소기업(300명이하),Data Scientist (상장기업 기술연구소)                            
중소기업(300명이하),"Data 분석 엔지니어, Data 기획 (대리-차장급), 분당                            "
중소기업(300명이하),"Data Architect [글로벌통신사 그룹사, 경력 5년이상]                            "
대기업,Data Scientist 채용(금융대기업)                            
중소기업(300명이하),"DATA SCIENTIST [글로벌통신사 그룹사, 경력 3년이상]                            "
대기업,                                [주요SI 대기업] GA 기반 온라인 고객 분석/컨설팅                            
중견기업(300명이상),                                [중견사]DevOps 엔지니어/과장급                            
중견기업(300명이상),                                [중견사]DevOps 엔지니어 경력자                            
중견기업(300명이상),                                [중견사]DevOps 엔지지너 경력자                            
대기업 계열사·자회사,                                Cloud 기술 컨설팅-국내 유명 대기업                            
대기업,                                석유화학 대기업 디지털트랜스포메이션(DT) 팀장급 채용                            
외국계 기업,                                [외국계 한국법인] Cloud Software Engineer (5-15년)                            
중소기업(300명이하),                                eCommerce 광고전략 (3년-대리급)-국내외 유명 라이프스타일 이커머스                            
외국계 기업,                                [Global Company] (Call Center) CRM Insights analyst (주임-과장급)                            
대기업,                                [대기업] IT전략 팀 리더( DT/IT Master Plan 수립 지원 및 관리(부장급)                            
대기업,                                [주요SI대기업] Bigdata Platform Architect                            
대기업 계열사·자회사,                                [ 대기업계열사] Solutions Architect (Cloud 기술컨설팅) 2년 이상                            
중견기업(300명이상),"                                데이터분석 매니저 대리과장급(양,엘)                            "
벤처기업,                                [글로벌/IT/의료/개발자] Partner Engineer                            
대기업 계열사·자회사,                                Elastic Stack 기술 전문가 (삼성계열 SW 전문기업)                            
에스코어,                                [대기업] Enterprise System Backend 개발                            
그룹 계열사1,                                데이터 분석 애널리스트- 그룹 계열사1                            
중소기업(300명이하),                                3D솔루션기업 Vision AI 연구자                            
외국계 기업,                                Solution Architect                            
중견기업(300명이상),                                IT Business System Analyst (과-차장급) - 외국계 우량 소비재기업                            
(주)티몬,                                [티몬] 추천 시스템 개발자                            
(주)디파인앤코,                                안드로이드/웹/파이썬 신입 및 경력 개발자 채용                            
㈜니오파트너스,                                영상처리 전문가 및 어플리케이션 개발자                            
비플라이소프트㈜,                                비플라이소프트(주) 서비스개발팀 개발자 정규직 채용                            
㈜코그넥스코리아,                                Sr. Software Engineer 경력직 채용                            
㈜휴먼아이,                                [자율 시차출퇴근제] ai 인공지능 영상분석 채용 [동료 구인중] : )                            
외국계,                                3. 블록체인 전문가 [대리과장급] (유명 외국계)                            
중소기업(300명이하),"                                인공지능-딥러닝, 자바,스프링 공공기관 솔루션 개발 과차장급 0명 채용                            "
대기업,"                                대기업 Audio,Video 코덱,스트리밍 SW개발 대리,과장,차장급 구함(굿커리어)                            "
대기업,"                                LBS,네비게이션,지도엔진,MAP-지도,경로탐색,검증툴,SW분석 16개부문 대리-차장급 00명 채용                            "
대기업,                                [대기업] DT Implemention팀 리더(부장급)                            
벤처기업,"                                빅데이터 분석/구축,자바개발,프로젝트PM 사원-차장급 5명 채용                            "
중견기업(300명이상),"                                중견기업 딥러닝기반 영상신호처리 알고리즘 개발 주임,대리,과장급 구함(굿커리어)                            "
