corp_nm,job_title
모비스(주),인공지능
리디(주),추천 엔지니어
(주)티몬,추천 시스템 개발자
(주)버킷플레이스,Product Owner(Discovery & Search)
잡플래닛,WaymakerHR 헤드헌팅 리서처
(주)버킷플레이스,Data Engineer/Scientist Lead
데이블(주),웹 개발자 _ 데이블 광고 플랫폼
나비효과,[백엔드 개발자] 영상 기반 커머스 앱의 초기 팀원 영입 - 지분 or 스톡옵션
(주)에이블리코퍼레이션,머신러닝 엔지니어
(주)더퍼스트인베스트먼트,더퍼스트인베스트먼트 주식/증권 전문가 애널리스트&연구원
(주)이랜서,[(주)이랜서] IT잡매니저를 초대 합니다.
(주)버즈니,[신성장]백엔드 엔지니어
노마드스타(주),Back-end Developer
크로키닷컴(주),백엔드 개발자
(주)매스프레소,Deep Learning Engineer
(주)메쉬코리아,플랫폼본부 - Product Owner (GIS플랫폼담당)
버즈빌(주),Machine Learning Developer
(주)버즈니,백엔드 엔지니어 (전문연구요원 가능)
마이리얼트립(주),항공 서비스 개발 리더
(주)버킷플레이스,Growth Lead
스캐터랩,그로스 마케터 (Growth Marketer)
보맵(주),[Growth팀] 퍼포먼스마케터 모집
(주)피플펀드컴퍼니,[사업부] 그로스(Growth) 마케터
(주)레페리,커머스사업본부 그로스해커
(주)코빗,Growth Marketing
(유)미소,[PM] Product Manager (Growth)
(주)코드스테이츠,Product Owner at Growth Marketing Course
잡플래닛 매칭서비스,"'더 좋은 제품을, 합리적인 가격에' 고객에게 전달하는 생활용품 시장 혁신 기업 - 그로스매니저"
(주)만인의꿈,퍼포먼스 마케터
(주)매스프레소,Global Business Developer (US)
(주)매스프레소,Global Business Development Manager (Thailand)
라인프렌즈(주),온라인 세일즈 마케터
마이뮤직테이스트,Marketing Manager
(주)지아이셀,[잡플래닛 매칭] R&D 분석(팀장)
마이리얼트립(주),퍼포먼스 마케터
(주)매스프레소,Product Designer (UX/UI)
(주)브레이브모바일,[잡플래닛 매칭] Performance Marketer (SA 중심)
(주)브레이브모바일,Performance Marketer (SA 중심)
(주)매스프레소,Global Business Developer (Junior)
잡플래닛 매칭서비스,"'더 좋은 제품을, 합리적인 가격에' 고객에게 전달하는 생활용품 시장 혁신 기업 - 스킨케어 브랜드매니저"
(주)아그레아블,커머스 React 프론트엔드 개발자
(주)에이비일팔공,솔루션 아키텍트 (Solution Architect)
글로벌라이프사이언스솔루션즈코리아(유),필드엔지니어
(주)피플펀드컴퍼니,[사업부] 퍼포먼스 마케터
리디(주),[리디 주식회사] Community Marketing Manager - US/Canada
(주)브랜디,브랜디/하이버 마케터 채용
(주)더기프팅컴퍼니,[더기프팅컴퍼니] 신입 및 경력직 상시 채용 (개발/디자인/마케팅/물류/상품/고객 등)
보스트핏,보스트핏(빅데이터 활용 의류제조&남성의류쇼핑몰) 인재모집
마이리얼트립(주),검색&추천 소프트웨어 엔지니어 (신입/경력)
(주)엔씨소프트,[TGD] Data Scientist 모집
(주)메쉬코리아,플랫폼본부 - Data Engineer
라인게임즈(주),게임 데이터 분석가 모집
(주)엔씨소프트,AI 서비스 데이터 분석가 모집
(주)엔씨소프트,[AI R&D] 데이터 엔지니어 수시 모집
(주)드림어스컴퍼니,Tech Data Engineer 채용
잡플래닛 매칭서비스,AI분야 스타트업 - Data Analyst
(주)교원,스마트테크부문 / Data Engineer
(주)카카오페이,[카카오페이] 데이터 엔지니어 영입
(주)교원,스마트테크부문 / Data Scientist
리디(주),[리디주식회사] 데이터 엔지니어
에스케이플래닛(주),Big Data 분석 및 User Profiling 전문가
잡플래닛 매칭서비스,대기업 금융 자회사 - 금융/페이 데이터분석 담당
한성자동차(주),IT Data Analyst
잡플래닛 매칭서비스,국내 대표 핀테크 스타트업 기업 - 데이터 사이언티스트
잡플래닛 매칭서비스,국내 유명 OTT서비스 기업 - 데이터 사이언티스트
(주)글로벌머니익스프레스,IT Data 분석
(주)엔씨소프트,[계약직] IP별 지표 & 데이터 적재 담당자 모집
(주)카카오페이,"[카카오페이] 빅데이터, 하둡(Hadoop) 플랫폼 운영 엔지니어 영입"
코리아리서치(주),데이터수집/운영 Group
케이씨씨건설(주),경영정보(신입)
(주)엔씨소프트,매출성과 관리 담당자 모집
마이뮤직테이스트,Growth Analyst
이투스교육(주),[본사] DX혁신부문 Tech Lab Senior Database Administrator
