corp_nm,detail
콘센트릭스서비스코리아(유),[디지털마케팅전문/콘센트릭스] 데이터분석(Data Analyst) 경력
유로인스트루먼츠,"신입  S/W프로그램머, 제품 컨설턴트, 데이터플랫폼 엔지니어"
(주)에이치알비즈코리아,세계적인게임사/[재무] 게임 데이터분석 담당/8년이상
(주)잡뉴스솔로몬서치,놀이시설기업 CRM 데이터분석 운영구축 대리과장급 경력자
(주)맨토스파워,[IT중견기업] 빅데이터(검색엔진) 채용/대리-차장급
(주)솔트룩스,인공지능(AI) 전문기업 솔트룩스 - 데이터사이언티스트
(주)코리아폴리스쿨,교육 빅데이터 시각화 전문가 채용
이크레더블,(주)이크레더블 데이터분석가 경력직 채용
(주)비아이씨엔에스,클라우드 데이터 레이크 구축 개발자 모집
(주)맨파워그룹코리아,[유명대기업]데이터 분석 경력직
(주)티몬,[티몬] 빅데이터 엔지니어
(주)비아이매트릭스,데이터분석 솔루션 개발자(python) 채용
디지털퍼스트 주식회사,AD-Tech 미디어렙 '디지털퍼스트' 데이터분석가 영입
(주)잡뉴스솔로몬서치,python 인공지능 API 빅데이터보안연구 1년이상 경력자
㈜에이치알맨파워그룹,빅데이터 개발 PL - 대기업 계열 IT 서비스 개발 운용사
HR컨설팅(주),[유명게임사] BI / 데이터 엔지니어링 담당 (2년-8년)
㈜에이치알맨파워그룹,글로벌 외국계 소비재 대기업 Data Scientist 데이터분석 마케팅
브랜드미,[빅데이터솔루션팀장] 대기업 계열사 빅데이터솔루션팀장 채용
비코어(주),빅데이터 엔지니어 채용 공고(경력)
(주)헬로서치,유명 포털 데이터 엔지니어 매니저급 채용
(주)헬로서치,유명 포털 데이터 엔지니어 매니저급 모집
주식회사 유저해빗,백엔드 개발자 (데이터 엔지니어) Senior
지속가능발전소(주),지속가능발전소 Data Scientist(데이터분석) 경력직 채용
(주)코드와이즈,빅데이터 (엘라스틱서치) & ML (엘라스틱 ML) 전문가 신입/경력
휴먼파워컨설팅 (주),물류대기업 - 빅데이터 AI 전문가
(주)프로매치코리아,(급) 디지털마케팅 - 빅데이터 솔루션 (팀장급)
(주)갤리언컨설팅그룹,[데이터 분석가 경력자] 유명 상장기업 인재 채용
(주)갤리언컨설팅그룹,[데이터 엔지니어 경력자] 유명 상장기업 인재 채용
(주)인이지,AI기반 시계열 데이터 예측 전문기업
(주)서원정보,2021 상반기 빅데이터/Oracle/클라우드外 경력 채용
(주)모아데이타,빅데이터 플랫폼 데이터 수집 개발자 모집 (경력)
(주)이넘넷,데이터 분석 및 응용 소프트웨어 개발자 개발자 모집
(주)에이치알비즈코리아,IT 회사 데이터 분석
(주)에이치알비즈코리아,IT 대기업 계열사 빅데이터 플랫폼 상품개발
에임커리어(주),빅데이터(경력직)
에스에프인촌,데이터 분석 및 시각화 경력인재 채용 - 글로벌 우량대기업
에스에프인촌,데이터 분석 전문가 채용 - 우량대기업
에스에프인촌,글로벌대기업 - 데이터 분석 전문가 경력채용
에이피써치,[외국계 소비재] 데이터 분석 (SAS or SQL) / 대리 말~차장급
(주)카이모바일,웹서비스 및 데이터 분석 시스템 개발 (신입 / 경력)
(주)엘젠아이씨티,AI 빅데이터 챗봇 전문가가 되고자 하는 열정적인 개발자 모집
파워에이치알,"[주요SI 대기업] 데이터 분석(Data Scientist, 2개포지션)"
파워에이치알,[대기업] B2C분야 데이터 기반 마케팅기획/컨설팅
파워에이치알,[주요 SI기업] 빅데이터 컨설팅(데이터컨설턴트)
파워에이치알,[주요 SI기업] 데이터엔지니어(빅데이터 프로젝트 수행)
(주)브레인커머스,[유망 AI 스타트업] 데이터 운영 기획
(주)엘씨벤쳐스,"데이터분석 ,   그로스해킹,   마케팅 PM 전문가를 모십니다"
커리어앤컴퍼니,"빅데이터, 인공지능(AI) ..DATA SCIENTIST"
(주)코어포인트,"AI(인공지능)/빅데이터 전문인력, 블록체인 전문인력 채용(차장,"
(주)투비파트너즈,[IT 그룹계열사] 클라우드 빅데이터플랫폼 상품개발
(주)컨셉터스,빅데이터 및 AI기반 마케팅플랫폼 마케터/ 기획자 경력직 모집
(주)엔브레인,AI헬스케어 기업 의료데이터 시각화/분석가/ 경력 모집
라이트스텝스,[유니콘기업] 데이터프로덕트 서버개발자
(주)케이맨파워,"[최고대우] Data CRM (멤버십 프로모션, 데이터 분석)"
(주)케이맨파워,[대기업] 데이터 엔지니어링
(주)브이비젼,[AI 머신비전 시스템기업] 빅데이터 담당 채용
에이스파트너스,[10대그룹사] 데이터 사이언티스트 채용
(주)케이맨파워,[대기업] 데이터 기획
주식회사 트러스트브릿지,[국내 대기업] 데이터 마케팅 팀장급(Data Scientist)
에이치알포유(주),[중견 게임기업] BI기획팀 게임 데이터분석 담당 경력
"주식회사 비긴메이트(Beginmate Co. ,Ltd,)",[비긴메이트] Node.JS 개발자 / 데이터사이언티스트 채용
토니서치,"[대기업관계사] 데이터 엔지니어 (Hadoop, Spark)"
한스컨설팅,청담동 위치 국내 1위 수입차딜러사 전산팀 데이터분석 대리급
(주)넷타겟,"(주)넷타겟 연구원 채용(화학정보, 데이터과학, 소프트웨어개발)"
(주)에닉스원,"응용프로그램 팀장, 개발자(JAVA, Spring, DBMS, 빅데이터)"
비플라이소프트(주),비플라이소프트(주) 미디어빅데이터분석연구소 정규직 채용
(주)포어링크,"빅데이터(Hadoop, HiveSQL) 개발자 모집"
(주)에이엔게임즈,데이터 엔지니어 모집
