corp_nm,detail
(주)휴넷,2020년 ㈜휴넷 AI R&D (자연어 처리 연구개발) 부문 경력직 모집
(주)웅진씽크빅,에듀테크연구소 학습분석가(박사급 정규직 연구원) 모집
(주)엔에이치엔다이퀘스트,[NHN다이퀘스트] 검색엔진(JAVA) 유지보수/기술지원 모집
(주)데이타게이트코리아,솔루션 Engineer 모집
(주)이글루시큐리티,인공지능 어플리케이션 프론트엔드 개발 채용
㈜이글루시큐리티,2020 하반기 Python/API/Linux 개발 경력 채용
(주)주원,"2021 상반기 영상기반 응용프로그램 개발 신입 채용(연봉3,300)"
(주)딥노이드,"인공지능, 의료영상 연구원 모집[경력, 병역특례 지원가능]"
(주)카카오페이,[카카오페이] MySQL 담당자 영입
(주)에이아이매틱스,[에이아이매틱스] 전문연구요원(병역특례)채용
(주)마크티,마크티 기술연구소 개발자 모집
(주)큐픽스,[전문연구요원] 컴퓨터비전/딥러닝/SLAM 알고리즘 개발
지식시스템㈜ KSTEC Inc.,[KSTEC] SW 프로그래머 신입 및 경력사원 채용
지식시스템㈜ KSTEC Inc.,[KSTEC] 통계/Analytics 신입 및 경력사원 채용
지식시스템㈜ KSTEC Inc.,[KSTEC] RPA 시스템 개발 신입 및 경력사원 채용
주식회사 오픈소스컨설팅,[오픈소스컨설팅] 각 부문 엔지니어 채용(신입/경력)
헬리오센(주),헬리오센(주) 각 부문별(GIS/Web/AI/Unity3D/3D) 신입/경력 채용
유한책임회사딜리버리히어로코리아,[Sr.Specialist] 디지털 마케팅
유한책임회사딜리버리히어로코리아,[Manager] 디지털 마케팅
(주)지피지기소프트,2020 하반기 공채 : 스마트시티사업부분 신입/경력직
(주)뷰노,"[뷰노] 의료영상, 생체신호, 음성인식 ML/DL 연구원을 찾습니다"
(주)에이조스바이오,"인공지능(AI)기반 신약개발 플랫폼 개발, MSL 모집 공고"
(주)브이엔티지,[신입] DT 프로젝트 기획 담당자 모집
(주)오피지지,Performance Marketing Manager 경력 채용
(주)오피지지,Marketing Communication Manager 경력 채용
(주)허그케어앤테라퓨틱스,AI 분야를 같이 연구할 SW 개발자를 모십니다.
(주)딥엑스,(주)딥엑스 AI / HW 엔지니어 수시 모집
(주)딥엑스,(주)딥엑스 AI / SW 엔지니어 수시 모집
주식회사 리본소프트,머신러닝/딥러닝 엔지니어 채용
(주)트랜스코스모스코리아,[월250만/영어농통자] MS 클라우드서비스(Azure) 기술지원 담당 MJq5
효성ITX(주),"[효성ITX] Product Manager(PM), New Business Strategy"
씨젠의료재단,(재)씨젠의료재단 AI연구팀 전문인력 채용
(주)라이프사이언스테크놀로지,생체 신호처리 알고리즘 설계 경력개발자 모집
젠틀몬스터,[젠틀몬스터] GENTLEMONSTER LAB 로봇 모션 제어
젠틀몬스터,[젠틀몬스터] GENTLE MONSTER LAB 대화형 인공지능 서비스 개발
(주)펨트론,"기업부설연구소 (응용프로그래머, 영상처리, AI) 전문연구요원"
(주)펨트론,"응용프로그래머 및 머신비전, 알고리즘, 영상처리 개발자"
(주)오픈베이스,AI 엔지니어
㈜IDS&TRUST,[대웅그룹 자회사] RPA 개발 및 유지보수 경력직 채용
(주)이노그리드,[이노그리드] 클라우드 솔루션 기술지원 채용
라온피플(주),AI 머신러닝 R&D 부문 전문연구요원[병역특례] 모집
라온피플(주),AI 자율주행 제어 시스템 개발
(주)알티캐스트,모빌리티 플랫폼 백엔드 개발 경력 채용
(주)스마트비전텍,AI 알고리즘 및 S/W개발
(주)아크릴,"AI, 인공지능 개발자 모집"
현대엠엔소프트,[신입] 지도 DB 설계/개발
(주)노루홀딩스,노루그룹 지주사 IT기획/관리 경력사원 모집
(주)헥사팩토리,드론 및 무인이동체 개발 외 3개 부문 정규직 채용
주식회사 핀텔,[2021년 상반기 공개채용] 교통공학 및 관련전공자 모집
메가존클라우드(주),[메가존클라우드] Azure 부문별 채용
(주)퓨처로봇,[기술연구소] 자율주행로봇 S/W 개발자 모집
(주)뷰온,(병역특례) 전문연구요원 AI  / 알고리즘 / SW개발
(주)비트나인,[비트나인] DB엔지니어 신입 또는 경력직 채용
(주)미디어그룹 사람과숲,웹(JAVA) 개발자 / AI개발자 경력모집
주식회사 핀텔,R&D 본부 딥러닝 개발자 정규직 채용
코가플렉스(주),컴퓨터비전 기반 스마트팩토리 공장자동화 S/W 신입 개발자 채용
(주) 웨이츠,소트프웨어 개발자 모집 공고
켐아이넷(주),인공지능(Python) 개발자 모집 (청년디지털일자리사업)
(주)크레스프리,시스템 엔지니어 채용
(주)디딤센서,㈜디딤센서 H/W & S/W 개발 경력 모집
(주)디케이테크인,[카카오 자회사] 카카오 공동체 서비스 백엔드 개발자 모집
(주)디케이테크인,[카카오 자회사] 카카오 공동체 자연어처리/AI기반 서비스 개발
(주)이타즈,[AI연구소/정규직] AI 신입 연구원 채용 공고
(주)데이터리퍼블릭,"공익을 위한 연구/개발 (인공지능, 블록체인/ 재택, 겸직 가능)"
(주)소이넷,인공지능 연구/개발자 채용
(주)제이투씨,함께 즐겁게 일할 AI 엔지니어를 찾습니다.
(주)슈프리마,[슈프리마] 인공 지능 소프트웨어(SW) 개발
(주)앨리스헬스케어,백엔드 엔지니어(경력/인턴)
이지지아이에스(주),Python 개발자 모집
(주)신화아이푸드,(주)신화푸드 [사내 ERP 구축] 경력직원 채용
메디사피엔스(주),인공지능(AI)&자연어처리(NLP) 외 정규직 채용
(주)디퍼아이,딥러닝 솔루션 개발자 채용
굿커리어,"유명 대기업 AI, 딥러닝, 컴퓨터 Vision 등 AI 유관분야 연구"
디디앤스토리지코리아,[신입/경력]리눅스 시스템 엔지니어
(주)네오헬스테크널러지,"R&D(회로설계, SW, 펌웨어) 엔지니어를 모십니다. (서울지역)"
(주)넥스리얼,AI 영상처리 SW 개발  정규직&인턴직 모집
(주)광개토연구소,프로그램 개발자 채용
㈜코리아서버호스팅,코리아서버호스팅 R&D DevOps 채용 공고
(주)글로비즈,[정규직/전문연구요원] Firmware/Embedded Application 개발자
(주)마이티하이브한국,"Mightyhive Korea, Lead Technical Solutions Engineer"
(주)마이티하이브한국,"Mightyhive Korea, Technical Solutions Engineer"
엔에스원소프트(주),웹-소프트웨어 개발(경력)Spring Java GIS C/C++ BigData Python
(주)엠투아이티,엠투아이티 신입 개발자 채용
(주)이앤에프어드바이저,[EnF] 연기금 자산운용전략 컨설턴트 모집
미식의시대,ML Engineer
(주)베스트에치알 (Best HR),대기업 계열 화학회사 정보전략팀(대리급)
(주)갤리언컨설팅그룹,[글로벌 리뷰 플랫폼] AI Labs 리더
(주)이타즈,[AI연구소/정규직] AI 연구원 채용 공고
이지스케이(주),인공지능 및 Python 개발자 채용
(주)더원테크,DB 설계 및 SQL 개발 경험자 모십니다.
(주)인큐브시스템,[대기업계열사]  Pre-sales 경력직 채용
(주)스카우트파트너스,[유명 이커머스 기업]광고 플랫폼 개발
에이치알코어스,BI / DW 담당자 (대리-과장급)
펀드블록글로벌(주),"부동산 금융 프롭테크 '펀드블록' 퀀트, 머신러닝 경력 공개채용"
아울네스트,[비즈니스 분석팀] IT 컨설턴트 채용 : 정규직
(주)인슈로보,모바일 및 웹개발자 경력 모집 (시니어)
(주)아우름플래닛,AI Engineer(NLP) 모집
(주)브이엔티지,서비스/플랫폼 기획자
게이전가오스,주니어 안드로이드 개발자 채용합니다.
에이스파트너스,[10대그룹사] 홈에너지관리시스템 SW Cloud DB개발 부문 채용
(주)쓰리디 포커스,"영상처리, Computer Vision 분야의 개발자를 찾습니다"
비플라이소프트(주),비플라이소프트(주) 서비스개발팀 개발자 정규직 채용
펜타시스템테크놀러지㈜,JAVA 개발자 경력 채용
(주)맨토스파워,[IT중견기업] JAVA플랫폼 개발 경력직 채용
㈜환경과학기술,인공지능 솔루션 개발
스냅스,인공지능(AI) 소프트웨어 개발
엠아이큐브솔루션(주),연구원 경력직 수시채용
(주)오픈메이트,사업관리 부문 PM 정규직 채용
(주)이호스트아이씨티,(주)이호스트아이씨티 전략영업 채용 공고
(주)헤리트,자바(Java) 서버 개발자 모집 - 에너지IoT솔루션 (병역특례가능)
(주)위고,"TA영업인력 및 Web, Mobile 서비스 기획 경력직 모집"
(주)이호스트아이씨티,"(주)이호스트아이씨티 ERP, CRM 개발 엔지니어 채용 공고"
㈜새롬정보시스템,[경력] AI(watson) 사업부문 Python 개발자 채용 공고
(주)티몬,[티몬]  검색 개발자
(주)티몬,[티몬]  추천 시스템 개발자
㈜로드와이즈,[인공지능]분야 머신러닝/c++ 연구개발자 모집(신입/경력/팀장)
모비두,"[소스라이브] 서비스 기획자, Front-End 개발자 外 부문별 채용"
엔터웨이파트너스,쇼핑앱 Product Owner (실장급)-국내 패션 모바일 커머스 기업
(주)휴먼트리월드와이드,[ 국내 Platform 솔루션 업체 ] Marketing  총괄/실장급
프로페셔날핸즈인핸즈코리아(주),05. 디지털 전략기획 (과장급) - 식품 제조유통사
인스피언(주),BackEnd 개발을 위한 Java 경력직 모집 (솔루션연구소 근무)
(주) 잡뉴스솔로몬서치,"딥러닝 기반 AI 모델 개발자 (대리-차장급), 서초구"
(주)모디엠,모바일 / 인공지능 클라우드 플랫폼 개발
(주)잡뉴스솔로몬서치,대기업 지주회사 빅테이터 플랫폼 기획 구축운영 과차장급
(주)핀업,C#서버 응용프로그램 개발자 모집
베스핀글로벌(주),MRP Consultant - 경력 7년 이상
(주)글로비즈,[정규직/전문연구요원] Backend/Frontend 개발자
(주)위즈커뮤니케이션즈,함.께. 성장하는 위즈 IoT 분야 백앤드 개발자 정규직 채용
인터리젠(주),"금융기관 내부통제, 준법감시 업무전문가를 모십니다."
(주)에이치알맨파워그룹,IT 대기업 SA (AWS) 경력 채용
글로벌소프트웨어캠퍼스(주),IT 교육 컨설턴트 채용(경력)
글로벌소프트웨어캠퍼스(주),IT 교육운영 담당자 채용
(주)엔센스코리아,[경력직] 영상인식 관련 딥러닝 모델 연구원 모집
(주)스튜디오엑스코,[정규직/계약직] 서버 개발 경력직 채용
디스이즈엔지니어링,[TIE] Android App Developer (안드로이드 앱 개발자) 채용
(주)유니코써치,[국내Major금융사] DA 3년이상 경력자 ASAP
지식시스템㈜ KSTEC Inc.,[KSTEC] 2020년 경력 사원 채용 (SW개발자)
굿어스데이터(주),Cloud 엔지니어 (경력 3년 이상)
(주)다비오,(주)다비오 기술연구센터 센터장(CTO) 채용
이마고웍스(주),딥러닝 기반 폴리곤 메쉬 프로세싱 모듈 및 알고리즘 개발
(주)다비오,(주)다비오 측위 연구원 : 모바일 개발자 채용
휴먼파워컨설팅 (주),물류대기업 - AI 비전 인식
(주)인코리아 프로페셔널(In Korea Professional),"[에너지] Platform 시스템 구축 PM 시스템엔지니어(SE), DW, DBA"
(주)프로매치코리아,(급) 디지털마케팅 - 퍼포먼스 마케팅 (팀장&시니어)
(주)휴먼트리월드와이드,대기업 모빌리티 맵 컨텐츠 기획자
(주)다비오,"(주)다비오 공간정보(GIS) 설계, 구축 담당자 채용"
(주)에코인사이트글로벌,제안서작성 & 정부과제 행정 업무
(주) 유비벨록스 모바일,"2020년 하반기 개발직(spring, web application) 공개 채용"
(주)한국씨엠씨,건설사업관리 IT시스템 개발자 모집 [경력]
(주)한국씨엠씨,건설사업관리 IT시스템 개발자 모집 [경력/신입]
미식의시대,Engineer(Android/React Native/React)
미식의시대,[미식의시대] QA Engineer
(주)나투,인공지능형 플랫폼 IOS개발자를 모집합니다. (경력자)
(주)피플앤커리어그룹,Digital Transformation 팀장급
(주)갤리언컨설팅그룹,[환경가전 전문기업] HR 시스템 담당자
라온서치,"대기업 경로탐색 교통정보 분석 (GIS, python, sql)"
(주)인큐브시스템,[유통대기업] IT전략 경력직 채용
(주)유엑스팩토리,소프트웨어 개발자를 찾습니다
유한책임회사딜리버리히어로코리아,[검색/추천] ML Engineer
유한책임회사딜리버리히어로코리아,[Sr.Specialist] RPA 운영 기획
(주)인큐브시스템,[대기업계열사]  Technical Architect 경력직 채용
유한책임회사딜리버리히어로코리아,[Specialist] 운영 자동화 개발
유비스 코리아,AR앱개발사 AI엔지니어
(주)스카우트파트너스,AI 경력 / 강화학습(Actor-Critic )을 활용한 모델 개발 경험
(주)리앤파트너,[AI기반 교육 플랫폼 기업] 디지털마케팅 리드
유한책임회사딜리버리히어로코리아,[Sr.Analyst] Business Intelligence Engineer
유어사이드(주),AI 기반 분석 플랫폼 개발 부문
에스에프인촌,AI / Machine Learning 분야 컨설턴트 채용 - 글로벌 컨설팅Firm
(주)탑앤스카우트,[전력기기 제조 강소기업] 정보DB화 포지션 모집
(주)인큐브시스템,[대기업 계열사] Java 개발 경력직 채용
(주)인큐브시스템,[대기업계열사]  솔루션 영업 경력직 채용
(주)인큐브시스템,[외국계대기업] 디지털 분석가(GA 기반 분석 담당)
(주)인큐브시스템,[외국계 대기업] 글로벌 회사 성과 분석 전문가 경력직 채용
이데아텍(주),플랫폼 R&D 및 서비스 개발 엔지니어 모집 (BigData / Java )
(주)애자일소다,AI전문기업 제품 기술지원 엔지니어 모집 (신입/경력)
(주)파운트,[핀테크] 파운트 프론트엔드 개발자 채용 (경력)
(주)써로마인드,인공지능 개발플랫폼 프로덕트 매니저 모십니다.
(주)슈프리마,[슈프리마] 인공 지능 알고리즘(Algorithm) 개발
파워에이치알,[주요 SI업체] Bigdata Platform Architect
브리스캔영어쏘시에이츠(주),CTO/CDO [커머스 출신 선호]
주식회사 이노서치,유망바이오기업 SW개발(2명)
주식회사 이노서치,유망바이오기업 생물정보학 & AI(머신 러닝) 박사급
(주)브레인커머스,[유망 AI 스타트업] Project Manager
테크온미디어(주),"병역특례(전문연구요원) 채용, 오피니언 마이닝 개발"
테크온미디어(주),JAVA서버개발자 경력직채용
반석써치(주),AI개발실장(임원) -코스닥상장기업
반석써치(주),(국내 대기업 지주회사) IT기획/관리 (과장-차장급)
(주)알세미,AI Research Scientist (정규직)
(주)액션파워,2020년 하반기 머신러닝(인공지능) 개발자 채용 공고
(주)뉴트리션코트,백엔드개발 경력직 채용
피트릭스,[현대자동차 사내벤처 (주)피트릭스] 영상인식 개발자 모집
커리어플래닛,국내 스마트에너지/전력 IT전문기업 - 정보DB화/정보화 컨설팅
(주)HR컨설팅그룹,딥러닝 연구 개발
라이트스텝스,[유니콘기업] 로봇 자율주행 소프트웨어 개발자
탑커리어인사이트,플랫폼 개발: AI 기반 분석/경력3년이상
(주)HR컨설팅그룹,[대기업분사 IT기업] ERP 개발 부문/AI 플랫폼 개발부문 채용
(주)피플케어코리아,분석엔진 개발 경력 채용합니다(정규직)
HR 킴벌리,최고기술책임자(CTO) - 국내 상장 온라인 기업
(주)제이엔제이 글로벌 컨설팅,AI 기반 분석 플랫폼 개발 부문
탑커리어인사이트,마케팅플랫폼 딥러닝엔지니어
오픈포지션,머신비전/ 영상처리 알고리즘 / 판교 / 스타트업
HeNny & McCoy,국내유명스타트업 - (영상인식기술+AI)/플래폼기획팀장
휴머레인컨설팅,"긴급) 대기업 - 회원 플랫폼 기술PM (회원,인증,멤버십,CRM 등)"
휴머레인컨설팅,"긴급) 회원 플랫폼 기술PM (회원,인증,멤버십,CRM 등) - 대기업"
휴머레인컨설팅,긴급) 머신러닝 엔지니어 (이커머스 분야) - 업계 최고 대기업
휴머레인컨설팅,긴급) 업계 최고 대기업 - 머신러닝 엔지니어 (이커머스 분야)
(주)와이즈케어,[연구개발팀] Front-end Developer 경력사원 채용
(주)피너클써치,Information Retrieval(정보검색) 연구원 - 3대금융 IT 대기업
(주)핀커스코리아,인공지능 의료솔루션 S/W 개발자(프론트엔드/백엔드/풀스택)
(주)핀커스코리아,외국계  -  웹사이트 분석  채용
마루느루,(주)마루느루(maruit) 브랜드매니저 채용
(주)메쉬코리아,[메쉬코리아(부릉)] AI/ML Engineer 경력직 채용
엘레멘트에너지코리아 주식회사,IOT Cloud (사물인터넷 클라우드) SW 개발자 모집(정규직)
(주)마키나락스,"[마키나락스] S/W Engineer/ ML / DS (정직원, 전문연구요원)"
(주)맨파워코리아,[외국계 디지털마케팅 기업] Engineer Team Leader(팀장)
(주)맨파워코리아,"[금융지주연구소] 블록체인 연구,분석"
(주)맨파워코리아,[외국계 SCM 기업] DevOps Engineer
(주)맨파워코리아,[국내 대형금융사] 기술임원 (CTO/CDO)-디지털혁신
AJ네트웍스(주),파렛트물류기획 경력 상시채용
엔에이치엔(주),[NHN] 머신러닝/딥러닝 연구 개발 채용(상시 Pool)
엔에이치엔(주),[NHN] 자바스크립트 개발 경력 채용(상시 Pool)
(주)솔트룩스,인공지능(AI) 전문기업 솔트룩스 - 자연어 처리
(주)솔트룩스,"솔트룩스 - 웹개발, 프론트엔드 개발자"
(주)자이오넥스,서울/부산 SCM 솔루션 컨설턴트 모집
(주)자이오넥스,AI 를 활용한 Supply Chain Management 솔루션 개발
(주)동훈아이텍,기술 보안 엔지니어 모집
(주)디리아,엘라스틱 스택 기술컨설팅 및 개발 경력자 채용
엠아이큐브솔루션(주),IT 컨설턴트(MES / EES / AI 분야) 모집
(주)스카우트,블록체인 사업개발
(주)칩스앤미디어,[Computer Vision] HW 엔지니어 모집
한국스코어링(주),AI 기반 업무자동화(RPA) 구현 신입 개발자 채용
(주)스카우트,국내그룹계열사-AI Engineer
씽크풀,[여의도] 정규직 로보 콘텐츠 개발자 채용
한국워터테크놀로지,IOT 프로그래머-아두이노 등 이용 기계장치 원격제어(서울 강남)
씽크풀,정규직 프로그래머 채용 (육아 병행 및 장기 근무 가능 환경   )
(주)승화기술정책연구소,[판교/연구소] 철도해양팀 소프트웨어 엔지니어 모집 공고
현대엠엔소프트,[계약직] 센터 서비스 모니터링 및 배포(3교대)
로지포커스(주),지능물류융합연구소 물류 IT 관련 정부과제 기획 및 수행자 채용
에스피테크놀러지(주),에스피테크놀러지(주) Java 개발자 경력직 모집
(주)카젠,자동차 contents 관리자 모집
(주)스마트코어,2020년 하반기 영상처리 알고리즘 및 응용프로그램 개발 모집
(주)모디엠,ROS 기반의 uRobot 테스트 자동화 시스템 개발
(주)잡뉴스솔로몬서치,"대기업) AI 기반 지게차 Solution 개발 (대리-과장), 인천시"
베스핀글로벌(주),Solution Architect (AWS)  - 경력 5년 이상
베스핀글로벌(주),Cloud Security Service 개발 - 주니어(경력 3년 미만)
베스핀글로벌(주),Cloud Security Service 개발 - 시니어(경력 5년 이상)
(주)비트나인,[비트나인]  Web Application 개발 경력직 채용
(주)쏘우웨이브,[주식회사쏘우웨이브] 서버S/W 개발자  모집
㈜에이치알맨파워그룹,MEC 솔루션 개발 - 대기업 계열 IT 서비스 개발 운용사
㈜에이치알맨파워그룹,AI 개발 PL - 대기업 계열 IT 서비스 개발 운용사
(주)에이치알맨파워그룹,영상인식 알고리즘 개발 전문가(석/박사급) 모집
(주)에이치알맨파워그룹,IT 대기업 퍼블릭 클라우드 매니지드 서비스 경력 채용
HR컨설팅(주),[대기업/IT] AI 로봇 단말 SW 공통화 모듈 개발
(주)엔센스코리아,[경력] 객체 검출 및 추적 / 행동 인식 분야 연구원 모집
(주)코레이즈홀딩스,"[코레이즈] H/W, S/W 영업 및 납품 (경력 5년 이상)"
(주)마인즈앤컴퍼니,[정규직] Python/Java Backend/Frontend 엔지니어
(주)엠투아이티,TA 및 인프라 운영 채용
(주)앱테스트에이아이,인공지능 앱 테스트 자동화 서비스 - 웹개발자 모집 공고
(주)코그넥스코리아,(주)코그넥스코리아 Sr. Software Engineer 경력직 채용
(주)워트인텔리전스,글로벌 특허검색 웹서비스 백엔드 경력개발자
(주)채움씨앤아이,[도서관솔루션1위] 자체/신규 솔루션 JAVA개발자
넷마블넥서스(주),[넷마블 넥서스] 세븐나이츠2 JAVA/BigQuery 개발자 경력사원 채
디스이즈엔지니어링,[TIE] Linux Software Developer 리눅스 소프트웨어 개발자
디스이즈엔지니어링,[TIE] Junior Robotics Engineer (로보틱스 엔지니어) 채용
디스이즈엔지니어링,[TIE] Hardware Engineer (하드웨어 엔지니어) 채용
디스이즈엔지니어링,[TIE] Mechanical Design Engineer (기구 설계 엔지니어) 채용
데이터플로,"모바일(안드로이드) 앱 및 웹 개발 (정규직,계약직,프리랜서)"
데이터플로,"Java,  웹 프로그래밍  채용 (정규직,계약직,프리랜서)"
무빙키,"FiguAR.com 증강현실(AR) 서비스 개발자(풀스택, 백엔드)"
(주)에바,자율주행 SW 개발 채용 (정규직)
이마고웍스(주),딥러닝 기반 의료영상 이미지 처리 모듈 및 알고리즘 개발
(주)에코카,"디자인 담당자 채용(홈페이지, SNS, 홍보물)"
(주)에바,"컴퓨터 비젼, 영상처리 개발자 (정규직)"
(주)피에스알 미디어,AI 광고 플랫폼 개발자 경력자
(주)휴먼트리월드와이드,대기업 모빌리티 DevOps Engineer
(주)쏠단,환경측정센서 제작 프로젝트(서울대와 공동 연구개발) 팀원모집
블루닷 주식회사,딥러닝 알고리즘 엔지니어
(주)엘로이랩,인공지능/AI/강화학습/Reinforcement learning/제어/로봇/머신
(주)엘로이랩,제어/로봇/머신/통신 프로토콜/시스템/ROS  SW개발자 채용
(주)크레스프리,Industrial IoT 플랫폼 서버 및 백엔드 개발자 채용
(주)크레스프리,AI 기반 영상 분석 개발자 채용
헬로우파트너스,"전장 대기업 AI, Deeplearning 기반 검사기 개발 엔지니어 채용"
주식회사 블록스미스,웹/앱 서비스 초급 개발자 정규직 채용
트래블라이(주),"[알루 서비스 개발팀]  서버 경력 채용 - Backend, Front 개발자"
글로벌산업기술교육원,[웹개발 강의] JAVA JSP 활용 웹 프로그래밍 직업훈련 강사 구인
(주)휴먼아이,[자율시차출퇴근제] ai인공지능 영상분석 채용(동료 구인중) : )
(주)펫핀스,연구소장 CTO 경력 모집(정규직)
유한책임회사딜리버리히어로코리아,검색운영 (Discovery)
(주)인큐브시스템,[대기업 계열사] Solution Arch.(PM)
(주)인큐브시스템,[대기업 계열사] Cloud 컨설팅
(주)인큐브시스템,[대기업 계열사] Solution Arch.(MSA)
에임커리어(주),머신 비전/AI 딥러닝 기반의 알고리즘 개발
(주)스카우트파트너스,국내 최고 금융사 기업가치 평가 회계사 ( 2~7년차 )
(주)스카우트파트너스,[국내 이커머스 기업]머신러닝 모델러
유니티 테크놀로지스 코리아,[유니티 코리아] Simulations and AI Engineer 채용
커리어커넥트(주),[서울 강남구] 우량 IT스타트업 파이썬 프로그래머 경력직 모집
주식회사 라온서치,ADAS 관련 Field Application Engineer 모집(독일근무)
주식회사 라온서치,[유수의 IT벤쳐기업]  Al/Deep Learning Engineer채용(2년~10년)
주식회사 라온서치,[업계 유수의 IT벤쳐기업] 플랫폼 엔지니어 모집
주식회사 라온서치,자율 주행 시뮬레이션 Algorithm Engineer모집(2년~10년)
유비스 코리아,딥러닝 AI 대리과장급 채용
(주)스카우트파트너스,머신비전시스템전문기업 Deep Learning 영상처리 연구개발 채용
주식회사 라온서치,ADAS 관련 Field Application Engineer (독일근무)
라온서치,"AI 모듈 ( 딥러닝, 머신러닝 ) 설계 및 Serving 플랫폼 연구개발"
주식회사 라온서치,[업계 유수의 IT벤쳐기업]  플랫폼 엔지니어
라온서치,"금융대기업 (연구소) NLP (Text Mining) 경력자, 석사이상"
주식회사 라온서치,자율 주행 시뮬레이션 Algorithm Engineer 채용
주식회사 라온서치,Al / Deep Learning Engineer 채용
(주)휴먼아이,[시차출퇴][재공고] AI개발-분석서버/알고리즘 채용 (영상분석)
(주)보고넷,GUI 소프트웨어 개발자
(주)모두의연구소,AI Research & Contents 팀원 모집
(주)코인트컴퍼니,시스템개발 / 컨설팅 지원인력 채용
(주)아이옵스테크놀러지,Java·JSP/Java / MSA 개발 정규직 모집 공고 - 경력사원
킹슬리벤처스,"인공지능 개발, 헬스케어 전문 창업희망자 모집"
한스컨설팅,송파구 위치 대기업 계열 인터넷 쇼핑몰 검색서비스개발
(주)어니언스,앱 서비스 Django 백엔드 개발자 경력 채용(정규직)
한스컨설팅,송파구 위치 대기업 계열 인터넷 쇼핑몰 전시매장 운영개발
한스컨설팅,영등포위치 국내 1위 구매SCM솔루션기업 클라우드개발 대리과장
한스컨설팅,송파구 위치 대기업 계열 인터넷 쇼핑몰 웹어플리케이션개발
한스컨설팅,송파구 위치 대기업 계열 인터넷 쇼핑몰 프로세스 시스템개발
오이스터에이블(주),지구를 구하는 영웅을 위하여- 개발자를 찾습니다.
로버트월터스코리아(주),[글로벌/소프트웨어/엔지니어] Computer Vision Engineer
(주)써로마인드,인공지능으로 직무전환을 원하시는 백엔드 개발자 모십니다.
(주)써로마인드,인공지능으로 직무전환을 원하시는 프론트엔드 개발자 모십니다.
제이케이서치 주식회사,코스닥 상장 글로벌 기업  계열사 제어 소프트웨어 개발자 채용
(주)브레인커머스,딥러닝 기반 영상인식 임베디드 통합개발(ADAS)
아도바(주),아도바(주) 프로젝트 개발자 채용합니다.
위키에이드,[신입/병특/경력] 영상처리 / 머신비전 엔지니어
(주)이몰디노,소프트웨어 솔루션 기획 설계 및 개발
(주)브레인커머스,[유망 AI 스타트업] Machine Learning Engineer
주식회사 스타랩스,(주)스타랩스 IT 각 웹개발 / TA / AA  경력 채용
테크온미디어(주),"병역특례(전문연구요원) 채용, 머신러닝/딥러닝개발"
반석써치(주),AI개발팀(과장-차장) -코스닥상장기업
KY컨설팅그룹,인공지능 영상분석 스타트업 컴퓨터비전 및 AI 엔지니어 모집
시와소프트(주),"RPA , 성능테스트부문 SW 엔지니어 모집합니다"
Astounding,딥러닝 OCR 연구를 함께 하실 연구원을 찾습니다
(주)투디지트,"서버 개발자(Back End) 경력 정규직 채용 (Python, Javascript)"
(주)네이앤컴퍼니,딥러닝 엔지니어 채용(경력 2년 이상)
엠오티,웹개발&응용프로그램개발 외 1개 부문 담당자 채용
(주)디엠랩,언리얼 Unreal 개발자 모집 [AI 소셜 로봇]
디케이지앤씨(주),RPA 기술영업(Pre-sales) 및 기술개발자 모집공고
굿커리어,"중견기업 머신비젼장비 SW개발 팀원,팀장급 구함(굿커리어)"
(주)디엠랩,"자연어처리, NLP, 챗봇 연구원 모집 [AI 소셜 로봇]"
맨파워스카우트,대기업 AI 전문가
(주)소셜써치코리아,질병검사 전문기관 의료 이미지 AI 딥러닝 담당 경력 2년 이상
굿커리어,"대기업 Audio,Video 코덱,스트리밍 SW개발 대리,과장,차장급"
나우써치,[외국계 한국법인] Cloud Software Engineer (5~15년)
(주)피플케어코리아,"(경력) 인공지능(AI), 머신러닝, Python外 정규직 채용"
(주)HR컨설팅그룹,어플리케이션 개발(대기업 계열사)
이문원한의원,웹디자인/동영상·편집·코덱外 1개 부문 담당자 채용
(주)브이비젼,[AI 머신비전 시스템기업] 머신비전/ AI딥러닝 담당 (병특가능)
(주)브이비젼,[AI 머신비전 시스템기업] 딥러닝 R&D (판교)
(주)조인스에이치알코리아,머신비전 SW 개발 (대리-부장급)
에이치알포유(주),[임플란트 전문 중견기업] 머신러닝/딥러닝 의료용 SW개발 경력
피엔씨서치,[중견 IT기업]클라우드 Pre-Sales(쿠버네티스 기반 PaaS)
(주)HR컨설팅그룹,(코스닥상장사) Python/리눅스/API 디자인 및 개발
(주)투비파트너즈,(국내 대기업) IoT플랫폼 개발
(주)투비파트너즈,(국내 대기업) 회원관리 플랫폼 개발
휴머레인컨설팅,긴급) 업계 최고 대기업 - Cloud System Engineer  - 최우대
휴머레인컨설팅,긴급) Cloud System Engineer - 업계 최고 대기업 - 최우대
휴머레인컨설팅,긴급) 업계 최고 대기업 - Cloud Infra Platform Architect
휴머레인컨설팅,긴급) Cloud Infra Platform Architect - 업계 최고 대기업
휴머레인컨설팅,긴급) 최고 대기업 - 플랫폼 기술PM - 최우대
휴머레인컨설팅,긴급) 국내 대기업 계열사 - DevOps Engineer (5년 이상)-최우대
휴머레인컨설팅,긴급) 플랫폼 기술PM - 최고 대기업 - 최우대
